File, Count, Channel, Segment, Bin, Value
Feedback001, 1, EMG_Zygo_RMS, 4, 9, 8.300815E-04
Feedback001, 1, EMG_Zygo_RMS, 4, 10, 1.385235E-03
Feedback001, 1, EMG_Zygo_RMS, 4, 11, 1.488947E-03
Feedback001, 1, EMG_Zygo_RMS, 4, 12, 6.778894E-04
Feedback001, 1, EMG_Zygo_RMS, 4, 13, 1.101909E-03
Feedback001, 1, EMG_Zygo_RMS, 4, 14, 1.695801E-03
Feedback001, 1, EMG_Corr_RMS, 5, 1, -7.218011E-04
Feedback001, 1, EMG_Corr_RMS, 5, 2, 1.220893E-03
Feedback001, 1, EMG_Corr_RMS, 5, 3, 0
Feedback001, 1, EMG_Corr_RMS, 5, 4, -3.188027E-04
Feedback001, 1, EMG_Corr_RMS, 5, 5, 2.167351E-04
Feedback001, 1, EMG_Corr_RMS, 5, 6, 4.065596E-05
Feedback001, 1, EMG_Corr_RMS, 5, 7, -6.534341E-04
Feedback001, 1, EMG_Corr_RMS, 5, 8, -7.395528E-04
Feedback001, 1, EMG_Corr_RMS, 5, 9, 4.202971E-03
Feedback001, 1, EMG_Corr_RMS, 5, 10, 1.12638E-03
Feedback001, 1, EMG_Corr_RMS, 5, 11, 7.79018E-04
Feedback001, 1, EMG_Corr_RMS, 5, 12, -2.183253E-06
Feedback001, 1, EMG_Corr_RMS, 5, 13, -5.182121E-04
Feedback001, 1, EMG_Corr_RMS, 5, 14, 3.553513E-03
Feedback001, 1, EMG_Zygo_RMS, 5, 1, -8.475629E-04
Feedback001, 1, EMG_Zygo_RMS, 5, 2, -1.263938E-03
Feedback001, 1, EMG_Zygo_RMS, 5, 3, 0
Feedback001, 1, EMG_Zygo_RMS, 5, 4, -9.07221E-04
Feedback001, 1, EMG_Zygo_RMS, 5, 5, -1.288392E-04
Feedback001, 1, EMG_Zygo_RMS, 5, 6, 5.023375E-04
Feedback001, 1, EMG_Zygo_RMS, 5, 7, -3.079078E-04
Feedback001, 1, EMG_Zygo_RMS, 5, 8, -1.528799E-04
Feedback001, 1, EMG_Zygo_RMS, 5, 9, 2.927285E-03
Feedback001, 1, EMG_Zygo_RMS, 5, 10, 5.219931E-03
Feedback001, 1, EMG_Zygo_RMS, 5, 11, -4.29899E-04
Feedback001, 1, EMG_Zygo_RMS, 5, 12, -9.698146E-04
Feedback001, 1, EMG_Zygo_RMS, 5, 13, 2.314083E-04
Feedback001, 1, EMG_Zygo_RMS, 5, 14, 0.0078221
Feedback001, 1, EMG_Corr_RMS, 6, 1, 6.943427E-04
Feedback001, 1, EMG_Corr_RMS, 6, 2, 6.977019E-04
Feedback001, 1, EMG_Corr_RMS, 6, 3, 0
Feedback001, 1, EMG_Corr_RMS, 6, 4, 3.366747E-04
Feedback001, 1, EMG_Corr_RMS, 6, 5, 1.162612E-04
Feedback001, 1, EMG_Corr_RMS, 6, 6, -3.714301E-04
Feedback001, 1, EMG_Corr_RMS, 6, 7, 1.426376E-04
Feedback001, 1, EMG_Corr_RMS, 6, 8, -1.57235E-04
Feedback001, 1, EMG_Corr_RMS, 6, 9, -7.246075E-04
Feedback001, 1, EMG_Corr_RMS, 6, 10, 1.966113E-04
Feedback001, 1, EMG_Corr_RMS, 6, 11, 1.050055E-04
Feedback001, 1, EMG_Corr_RMS, 6, 12, 3.758287E-04
Feedback001, 1, EMG_Corr_RMS, 6, 13, 3.411982E-04
Feedback001, 1, EMG_Corr_RMS, 6, 14, -1.740034E-04
Feedback001, 1, EMG_Zygo_RMS, 6, 1, -8.276396E-05
Feedback001, 1, EMG_Zygo_RMS, 6, 2, -5.839792E-04
Feedback001, 1, EMG_Zygo_RMS, 6, 3, 0
Feedback001, 1, EMG_Zygo_RMS, 6, 4, 1.081564E-03
Feedback001, 1, EMG_Zygo_RMS, 6, 5, 8.564414E-04
Feedback001, 1, EMG_Zygo_RMS, 6, 6, 1.883705E-04
Feedback001, 1, EMG_Zygo_RMS, 6, 7, 7.597771E-04
Feedback001, 1, EMG_Zygo_RMS, 6, 8, 9.886178E-04
Feedback001, 1, EMG_Zygo_RMS, 6, 9, 1.31322E-03
Feedback001, 1, EMG_Zygo_RMS, 6, 10, 1.363372E-03
Feedback001, 1, EMG_Zygo_RMS, 6, 11, -3.97582E-04
Feedback001, 1, EMG_Zygo_RMS, 6, 12, 5.240773E-04
Feedback001, 1, EMG_Zygo_RMS, 6, 13, 5.288466E-04
Feedback001, 1, EMG_Zygo_RMS, 6, 14, 0.0011545
Feedback001, 1, EMG_Corr_RMS, 7, 1, -5.680285E-03
Feedback001, 1, EMG_Corr_RMS, 7, 2, -4.04117E-03
Feedback001, 1, EMG_Corr_RMS, 7, 3, 0
Feedback001, 1, EMG_Corr_RMS, 7, 4, -4.057554E-03
Feedback001, 1, EMG_Corr_RMS, 7, 5, -5.463077E-03
Feedback001, 1, EMG_Corr_RMS, 7, 6, -5.637836E-03
Feedback001, 1, EMG_Corr_RMS, 7, 7, -4.762232E-03
Feedback001, 1, EMG_Corr_RMS, 7, 8, -4.730399E-03
Feedback001, 1, EMG_Corr_RMS, 7, 9, -5.356428E-03
Feedback001, 1, EMG_Corr_RMS, 7, 10, -5.170439E-03
Feedback001, 1, EMG_Corr_RMS, 7, 11, -5.603133E-03
Feedback001, 1, EMG_Corr_RMS, 7, 12, -5.76588E-03
Feedback001, 1, EMG_Corr_RMS, 7, 13, -5.536458E-03
Feedback001, 1, EMG_Corr_RMS, 7, 14, -3.467659E-03
Feedback001, 1, EMG_Zygo_RMS, 7, 1, -1.020237E-02
Feedback001, 1, EMG_Zygo_RMS, 7, 2, -8.080147E-03
Feedback001, 1, EMG_Zygo_RMS, 7, 3, 0
Feedback001, 1, EMG_Zygo_RMS, 7, 4, -7.187704E-03
Feedback001, 1, EMG_Zygo_RMS, 7, 5, -0.0104678
Feedback001, 1, EMG_Zygo_RMS, 7, 6, -9.575201E-03
Feedback001, 1, EMG_Zygo_RMS, 7, 7, -9.545778E-03
Feedback001, 1, EMG_Zygo_RMS, 7, 8, -8.620148E-03
Feedback001, 1, EMG_Zygo_RMS, 7, 9, -9.325991E-03
Feedback001, 1, EMG_Zygo_RMS, 7, 10, -9.69184E-03
Feedback001, 1, EMG_Zygo_RMS, 7, 11, -9.974821E-03
Feedback001, 1, EMG_Zygo_RMS, 7, 12, -1.016364E-02
